"phrase","definition","conjugation_overrides","manual_overrides","synonyms","notes"
"tropezar","stumble,blunder","e:ie"
"unir","connect,unite,join,bind,attach"
"usar","use,employ,wear"
"utilizar","utilize"
"vaciar","empty","iar"
"valer","be worth","go,e2d"
"velar","stay awake,guard,watch over"
"vencer","conquer,overcome,defeat"
"vender","sell"
"venir","come","-e:ie_1sp,go,e2d,e_and_o,e:ie_past_all"
"ver","see","pp_ver,unaccent_present_past","{""conjugation_stems"":{""present"":[""ve""],""incomplete_past"":""ve""}}"
"vestirse","dress oneself,get dressed","e:i"
"viajar","travel"
"vigilar","watch (over),keep guard,look out for"
"visitar","visit"
"vivir","live"
"volar","fly","o:ue"
"volver","return,go back","o:ue,pp_olver"
"votar","vote,vow"
"yacer","lie down,be lying down,lie in a grave"
"zumbar","buzz,hum,flutter around"
"zurcir","darn,mend"
"des-pedir","dismiss"
"despertar","wake up","e:ie"
